first_name,last_name,price,above_100
William,Garcia,258.1809089,True
Barbara,Freeman,141.890534,True
Rebecca,Zimmerman,293.373272,True
Patricia,Velasquez,249.9479246,True
Ronnie,Clark,272.908659,True
Timothy,Rose,65.74326968,False
Joshua,Ramirez,64.54997394,False
Joseph,Dawson,111.0171384,True
Robert,Rios,87.31797988,False
Karen,Mitchell,277.2511543,True
Patrick,Greene,7.259436115,False
Matthew,Nelson,295.3146887,True
Melissa,Smith,70.04282129,False
Amy,Johnson,78.26892103,False
Edgar,Ellis,208.6777041,True
Olivia,Rivera,104.8094951,True
Kelly,Leblanc,40.20849552,False
Jennifer,Anderson,17.90633335,False
Tammy,Clark,125.0672217,True
Jennifer,Marquez,21.63604687,False
Cory,Silva,36.24541189,False
Mackenzie,Moon,264.9268902,True
Larry,Wade,126.3049676,True
Diana,Shaffer,37.50406255,False
Stephen,Smith,168.1895294,True
Kendra,White,265.1085587,True
Lindsey,Williamson,280.3953974,True
Wanda,Hale,106.0997985,True
Jillian,Davies,10.64366962,False
Douglas,Thomas,119.0382607,True
Jennifer,Davis,153.0526538,True
George,Holmes,44.38614111,False
Marissa,Webster,105.4378241,True
Anna,Boyle,80.47552199,False
Paul,Gillespie,174.6815735,True
Autumn,Johnston,132.780344,True
Tracey,Norton,118.0225331,True
Amy,Flynn,128.6739798,True
Melissa,Davis,72.58977535,False
Vincent,Mitchell,78.43990466,False
Gregory,Martin,144.6915752,True
Robert,Coffey,117.3205633,True
Melissa,Montgomery,101.4845534,True
Krystal,Cunningham,296.536062,True
Scott,Lee,163.4878508,True
James,Murray,28.59025756,False
Hunter,Stokes,3.582742282,False
Jasmine,Austin,33.90382995,False
Grant,Summers,51.78034157,False
Sarah,Spencer,271.6023676,True
Brianna,Lewis,192.617676,True
Rhonda,Martin,145.6455553,True
Dennis,Lawrence,161.3584294,True
Michael,Stewart,245.4400987,True
William,Wilkins,22.90555849,False
Rebecca,Jimenez,142.590737,True
Kathleen,Roman,15.10135967,False
Billy,Smith,22.53181535,False
Nicole,James,101.913846,True
Allison,Holt,12.7990102,False
Amanda,Johnson,19.17461281,False
Michael,Spencer,171.890946,True
Brandi,King,30.05366744,False
Alexander,King,23.47063099,False
Nicole,Sampson,207.6385148,True
Savannah,Bell,22.05563858,False
Jessica,Harris,103.7031099,True
Lauren,Gallagher,266.215602,True
Jack,Townsend,93.27791862,False
Jamie,Nguyen,228.9953328,True
Ann,Price,266.323001,True
Michael,Rodriguez,224.0452951,True
Heather,Davidson,219.8337855,True
Marie,Green,146.6406753,True
Lori,Tapia,147.3422789,True
Kayla,Alvarado,127.2410425,True
Susan,Crosby,200.3652912,True
Nathan,Harris,163.8731027,True
Michael,Daniel,4.582288435,False
Ashley,Jones,53.14943439,False
John,Wright,91.35592502,False
Melissa,Jordan,294.2154133,True
Carrie,Jackson,232.6768105,True
Rebecca,Anderson,183.1702424,True
Paul,Powell,105.1162169,True
Shawn,Baxter,81.03527984,False
Sarah,Wright,141.0101793,True
Kimberly,Romero,235.624084,True
Matthew,Washington,186.5044837,True
Kirk,Hayden,148.2501795,True
Traci,Kelley,41.56298339,False
Isabella,Chen,129.6921072,True
Melanie,Salazar,292.8461055,True
Stephanie,Lewis,76.43122945,False
Christopher,Hensley,249.1556558,True
Terry,Vincent,242.9859001,True
Jason,Alvarado,95.92027624,False
Michelle,Evans,257.2373034,True
Dennis,Benitez,87.11980487,False
Troy,Garcia,181.4054634,True
Albert,Davila,113.2109822,True
Candice,Rivera,42.88132073,False
Cole,Edwards,244.0779245,True
Danielle,Johnson,31.63041433,False
Justin,Ramirez,146.3464935,True
Elizabeth,Griffith,205.7783782,True
Kristin,Clay,260.3474682,True
Joseph,White,65.20753493,False
Marissa,Holmes,59.40240228,False
Michelle,Hamilton,91.62237167,False
Christopher,Alvarez,126.025264,True
Craig,Hogan,136.7126938,True
Melissa,Castillo,281.1608076,True
Maria,Williams,10.21292614,False
Vanessa,Thomas,20.58084145,False
Gary,Obrien,53.39582051,False
Melissa,Holt,252.2818438,True
Eric,Valenzuela,176.52775,True
Anthony,Hardy,4.902725495,False
Karen,Johnson,49.41029242,False
Richard,Hunt,249.7511997,True
Karen,Robertson,1.710967532,False
Adam,Jones,56.93252133,False
Jonathan,Fuller,14.71921636,False
Jason,Harris,151.4305855,True
Danielle,Hill,179.8454001,True
Seth,Freeman,224.5526336,True
Joseph,Davis,97.09676869,False
Sonya,Reyes,209.9855308,True
Michael,Castro,243.1786308,True
Jonathan,Collins,101.4620676,True
Eric,Hayes,279.9732949,True
Eric,Moore,77.4205876,False
Veronica,Estes,270.8232516,True
Timothy,Aguilar,133.1135532,True
Taylor,Hunt,138.2042127,True
Michael,Clarke,128.9532357,True
Cheryl,Morse,275.7612746,True
Jose,Page,184.058919,True
Matthew,Kramer,265.3917788,True
Regina,Barrera,185.2134145,True
Sean,George,53.76304189,False
Cody,Hernandez,180.9265991,True
Hunter,Smith,175.2181525,True
Andrea,Burke,256.3026305,True
Elizabeth,Patterson,290.1129725,True
Austin,Rhodes,158.1182472,True
Maurice,Thompson,224.1265422,True
Richard,Martinez,86.96423972,False
Brian,Hernandez,42.67025555,False
Samantha,Shields,149.8952175,True
Joseph,Walker,282.0494042,True
Tracy,Hernandez,215.0596081,True
Vicki,Fox,41.51250582,False
Louis,Campos,277.9062585,True
Justin,Scott,208.0660064,True
Megan,Vaughn,289.9564106,True
Mary,Hughes,15.21373926,False
Anita,Fleming,58.24742383,False
Alyssa,Melendez,273.6593194,True
Joshua,Foster,253.4093833,True
Lisa,Smith,203.9611381,True
Kathy,Lee,265.446304,True
Bethany,Park,233.6891667,True
Joshua,Butler,239.8213879,True
Danielle,Potter,204.5385362,True
Kenneth,Robinson,152.7840745,True
Eric,Pineda,111.0479315,True
James,Dorsey,68.90463624,False
Michael,Miller,129.6049475,True
Danielle,Martinez,45.94938674,False
Gary,Young,212.2982372,True
Lisa,Decker,275.7158848,True
Kayla,Randolph,232.8220215,True
Peggy,Thompson,124.4664752,True
Alex,Cooper,170.205336,True
Joanne,Wilson,229.6136723,True
Maria,Adams,141.7128665,True
Julie,Horton,276.5816247,True
Jeffrey,Galvan,210.5061915,True
Christopher,Johnson,268.63027,True
Jennifer,Arias,59.59468056,False
Jocelyn,Bell,84.95454821,False
Eric,Brown,133.4007225,True
Devon,Wright,29.21576875,False
Rodney,Robles,158.9838923,True
Kara,Austin,271.4672561,True
Jeffrey,Tanner,203.7433126,True
Shaun,Nunez,153.1987664,True
Daniel,Mccall,143.271503,True
Frank,Owen,233.2015374,True
Beth,Johnson,128.7923576,True
Joshua,Clark,190.9113668,True
Gary,Jones,52.3166247,False
Nancy,Brown,115.9584052,True
Megan,Roach,18.68239346,False
Lucas,Ross,221.1269463,True
Jerry,Tucker,29.95199198,False
Timothy,Robles,76.08225475,False
Christopher,Goodwin,78.12233209,False
Philip,Wilson,22.8431316,False
Carrie,Davis,295.0481315,True
Michael,Daniel,229.951577,True
Bryan,Valenzuela,236.1493796,True
Robin,Garner,79.14737521,False
Angel,Thompson,284.7302014,True
Christopher,Morgan,216.0131402,True
Brittany,Walker,163.1107737,True
Shelby,Mann,110.9021852,True
Jodi,Wells,44.01734436,False
Terri,Gibson,92.36081224,False
Vanessa,Hernandez,105.2534499,True
Maria,Russell,114.1452708,True
Stacy,Moses,126.6504703,True
Amanda,Schneider,288.471694,True
Catherine,Lopez,182.0171244,True
Amanda,White,12.31889758,False
Karina,Spencer,128.1490023,True
Deborah,Warren,139.7675022,True
Erica,Dixon,168.6031566,True
Barbara,Gray,140.7466665,True
Deanna,Watson,264.5411986,True
Michael,Cox,136.7864833,True
Amy,Myers,92.16016851,False
Patrick,Hunter,170.4134515,True
Marvin,Murphy,212.4152504,True
Janice,Graves,223.7037682,True
Brooke,Pierce,171.9383085,True
Adam,Wells,280.2602417,True
Amanda,Atkins,283.4268495,True
Gary,Ruiz,132.504823,True
Tina,Wallace,72.91326395,False
Casey,Oconnell,16.79606077,False
Nancy,Mendoza,281.3890295,True
Luis,Nguyen,34.19827441,False
William,Graves,111.5016422,True
Sean,Brennan,269.2286668,True
